experiment_id,epoch,train_loss,test_loss,accuracy,delta,lr,best_accuracy,mode,phase,timestamp,generalization_gap,acc_best_so_far,test_loss_best_so_far,train_loss_delta,test_loss_delta,delta_zone,test_loss_rolling_mean,test_loss_rolling_slope,accuracy_rolling_mean,accuracy_rolling_slope,lr_changed
greg_v3_20251222_235207,68,0.2606155966096522,0.2767707004765921,91.04,80.65909057920126,0.005,91.04,CONQUEST,CONVERGENCE,2025-12-23T08:57:59.374230,0.016155103866939857,91.04,0.2742686086817633,-0.016827160478248004,0.002502091794828798,Critica,0.2822306775405437,-0.0054421957892114865,90.57199999999999,0.23571428571428701,False
greg_v3_20251222_235207,70,0.25562052129555846,0.2753682183691218,90.78,83.54748576016169,0.005,91.04,CONQUEST,CONVERGENCE,2025-12-23T09:14:24.832587,0.01974769707356333,91.04,0.2742686086817633,-0.0049950753140937665,-0.0014024821074702931,Critica,0.2791961391326747,-0.0038133649185811886,90.714,0.17642857142857285,False
greg_v3_20251222_235207,72,0.2441223894276887,0.2708861241235009,91.45,87.45653522075732,0.005,91.45,CONQUEST,CONVERGENCE,2025-12-23T09:30:29.699070,0.02676373469581217,91.45,0.2708861241235009,-0.011498131867869743,-0.0044820942456209045,Critica,0.2747689558546754,-0.0033590153674805568,90.94,0.19857142857143018,False
greg_v3_20251222_235207,74,0.24593819618758644,0.2631684447391124,91.75,86.74939332428701,0.005,91.75,CONQUEST,CONVERGENCE,2025-12-23T09:47:51.956582,0.01723024855152594,91.75,0.2631684447391124,0.0018158067598977312,-0.007717679384388498,Critica,0.2720924192780181,-0.003563970879771174,91.182,0.21428571428571477,False
greg_v3_20251222_235207,80,0.23554203123845102,0.27244077707770503,91.04,-92.3936215315996,0.005,91.75,NORMAL,CONVERGENCE,2025-12-23T10:37:20.150018,0.03689874583925401,91.75,0.2631684447391124,-0.010396164949135422,0.009272332338592648,Fora,0.27172685295720644,-0.001443426995445547,91.212,0.12964285714285698,False
greg_v3_20251222_235207,89,0.19961147366658502,0.26354968283749836,91.76,113.57431236525917,0.0025,91.76,CONQUEST,CONVERGENCE,2025-12-23T11:52:21.094372,0.06393820917091333,91.76,0.2631684447391124,-0.035930557571866,-0.008891094240206676,Critica,0.26908264942938764,-0.001893442784306367,91.35600000000001,0.1278571428571433,True
greg_v3_20251222_235207,90,0.1989153359094849,0.2561777206727221,91.92,-111.86908719540571,0.0025,91.92,NORMAL,CONVERGENCE,2025-12-23T12:01:00.799497,0.057262384763237195,91.92,0.2561777206727221,-0.0006961377571001182,-0.007371962164776258,Fora,0.26524454989010776,-0.002995048482880452,91.584,0.14964285714285705,False
greg_v3_20251222_235207,92,0.1967610167077435,0.2593365747340118,91.94,115.02085454505072,0.0025,91.94,CONQUEST,CONVERGENCE,2025-12-23T12:17:06.154768,0.06257555802626827,91.94,0.2561777206727221,-0.0021543192017413892,0.0031588540612896843,Critica,0.26293464001220995,-0.0027546607038750576,91.682,0.15821428571428545,False
greg_v3_20251222_235207,95,0.19525678278616324,0.2597113315817676,91.98,-115.59994064544244,0.0025,91.98,NORMAL,CONVERGENCE,2025-12-23T12:41:42.266824,0.06445454879560439,91.98,0.2561777206727221,-0.001504233921580278,0.0003747568477558416,Fora,0.26224321738074097,-0.0020518276442994254,91.728,0.10178571428571408,False
greg_v3_20251222_235207,98,0.18110421107476934,0.2523617509611045,92.05,127.52179681166017,0.00125,92.05,CONQUEST,CONVERGENCE,2025-12-23T13:06:38.525399,0.07125753988633518,92.05,0.2523617509611045,-0.014152571711393891,-0.007349580620663099,Critica,0.25822741215742084,-0.002217574301049463,91.92999999999999,0.10571428571428498,True
